TIME,PROBABILITY
1.42368E+12,1.395
1.42368E+12,1.395
1.42368E+12,1.405
1.42368E+12,1.405
1.42368E+12,1.405
1.42368E+12,1.415
1.42368E+12,1.415
1.42368E+12,1.405
1.42368E+12,1.425
1.42368E+12,1.425
1.42368E+12,1.425
1.42368E+12,1.415
1.42368E+12,1.435
1.42368E+12,1.43
1.42368E+12,1.425
1.42368E+12,1.415
1.42368E+12,1.415
1.42368E+12,1.455
1.42368E+12,1.445
1.42368E+12,1.445
1.42368E+12,1.435
1.42368E+12,1.435
1.42368E+12,1.445
1.42368E+12,1.435
1.42368E+12,1.445
1.42368E+12,1.435
1.42368E+12,1.44
1.42368E+12,1.445
1.42368E+12,1.455
1.42368E+12,1.465
1.42368E+12,1.475
1.42368E+12,1.475
1.42368E+12,1.485
1.42368E+12,1.495
1.42368E+12,1.465
1.42368E+12,1.465
1.42368E+12,1.475
1.42369E+12,1.495
1.42369E+12,1.475
1.42369E+12,1.455
1.42369E+12,1.465
1.42369E+12,1.47
1.42369E+12,1.465
1.42369E+12,1.475
1.42369E+12,1.465
1.42369E+12,1.465
1.42369E+12,1.465
1.42369E+12,1.445
1.42369E+12,1.455
1.42369E+12,1.455
1.42369E+12,1.445
1.42369E+12,1.445
1.42369E+12,1.475
1.42369E+12,1.465
1.42369E+12,1.465
1.42369E+12,1.475
1.42369E+12,1.475
1.42369E+12,1.485
1.42369E+12,1.485
1.42369E+12,1.475
1.42369E+12,1.485
1.42369E+12,1.46
1.42369E+12,1.455
1.42369E+12,1.495
1.42369E+12,1.495
1.42369E+12,1.485
1.42369E+12,1.49
1.42369E+12,1.515
1.42369E+12,1.475
1.42369E+12,1.485
1.42369E+12,1.505
1.42369E+12,1.505
1.42369E+12,1.535
1.42369E+12,1.525
1.42369E+12,1.525
1.42369E+12,1.525
1.42369E+12,1.555
1.42369E+12,1.545
1.42369E+12,1.57
1.42369E+12,1.575
1.42369E+12,1.595
1.42369E+12,1.605
1.42369E+12,1.595
1.42369E+12,1.595
1.42369E+12,1.595
1.42369E+12,1.615
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.65
1.42369E+12,1.635
1.42369E+12,1.645
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.645
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.655
1.42369E+12,1.665
1.42369E+12,1.665
1.42369E+12,1.655
1.42369E+12,1.66
1.42369E+12,1.665
1.42369E+12,1.665
1.42369E+12,1.675
1.42369E+12,1.68
1.42369E+12,1.685
1.42369E+12,1.675
1.42369E+12,1.685
1.42369E+12,1.695
1.42369E+12,1.695
1.42369E+12,1.705
1.42369E+12,1.745
1.42369E+12,1.735
1.42369E+12,1.735
1.42369E+12,1.73
1.42369E+12,1.73
1.42369E+12,1.765
1.42369E+12,1.755
1.42369E+12,1.79
1.42369E+12,1.795
1.42369E+12,1.795
1.42369E+12,1.795
1.42369E+12,1.83
1.42369E+12,1.885
1.42369E+12,1.905
1.42369E+12,1.885
1.42369E+12,1.895
1.42369E+12,1.925
1.42369E+12,1.925
1.42369E+12,1.915
1.42369E+12,1.885
1.42369E+12,1.87
1.42369E+12,1.935
1.42369E+12,1.945
1.42369E+12,1.935
1.42369E+12,1.97
1.42369E+12,1.955
1.42369E+12,1.955
1.42369E+12,2.01
1.42369E+12,2.09
1.42369E+12,2.09
1.42369E+12,2.11
1.42369E+12,2.15
1.42369E+12,2.12
1.42369E+12,2.13
1.42369E+12,2.09
1.42369E+12,2.17
1.42369E+12,2.11
1.42369E+12,2.17
1.42369E+12,2.13
1.42369E+12,2.13
1.42369E+12,2.23
1.42369E+12,2.29
1.42369E+12,2.27
1.42369E+12,2.25
1.42369E+12,2.29
1.42369E+12,2.35
1.42369E+12,2.38
1.42369E+12,2.39
1.42369E+12,2.45
1.42369E+12,2.51
1.42369E+12,2.56
1.42369E+12,2.67
1.42369E+12,2.78
1.42369E+12,2.8
1.42369E+12,3.025
1.42369E+12,3.025
1.42369E+12,2.97
1.42369E+12,3.125
1.42369E+12,3.225
1.42369E+12,3.375
1.42369E+12,3.375
1.42369E+12,3.45
1.42369E+12,3.45
1.42369E+12,3.45
1.42369E+12,3.775
1.42369E+12,3.65
1.42369E+12,3.775
1.42369E+12,3.925
1.42369E+12,3.975
1.42369E+12,4.25
1.42369E+12,4.55
1.42369E+12,4.85
1.42369E+12,4.5
1.42369E+12,4.7
1.42369E+12,4.9
1.42369E+12,5.85
1.42369E+12,5.95
1.42369E+12,5.95
1.42369E+12,5.95
1.42369E+12,4.18
1.42369E+12,5.5
1.42369E+12,4.18
1.42369E+12,1.035
1.42369E+12,1.025
1.42369E+12,1.035
1.42369E+12,1.035
1.42369E+12,1.035
1.42369E+12,1.035
1.42369E+12,1.025
1.42369E+12,1.015
,
,
,
no data,
1.42369E+12, 
1.42369E+12, 
1.42369E+12, 
1.42369E+12, 
1.42369E+12, 
1.42369E+12, 
1.42369E+12, 
1.42369E+12, 
Game finished.,
